	timestamp	length	highest_layer	host_ip	dest_ip	host_port	dest_port
0	1521397312.013774	88	DNS	10.0.2.15	162.212.156.148	43204	53
1	1521397312.031954	93	DNS	162.212.156.148	10.0.2.15	53	43204
2	1521397313.034562	88	DNS	10.0.2.15	162.212.156.148	43204	53
3	1521397313.050511	93	DNS	162.212.156.148	10.0.2.15	53	43204
4	1521397314.052148	88	DNS	10.0.2.15	162.212.156.148	43204	53
5	1521397314.068427	93	DNS	162.212.156.148	10.0.2.15	53	43204
6	1521397315.068838	88	DNS	10.0.2.15	162.212.156.148	43204	53
7	1521397315.083043	93	DNS	162.212.156.148	10.0.2.15	53	43204
8	1521397316.084064	88	DNS	10.0.2.15	162.212.156.148	43204	53
9	1521397316.100277	93	DNS	162.212.156.148	10.0.2.15	53	43204
10	1521397317.103274	88	DNS	10.0.2.15	162.212.156.148	43204	53
11	1521397317.119268	93	DNS	162.212.156.148	10.0.2.15	53	43204
12	1521397318.120046	88	DNS	10.0.2.15	162.212.156.148	43204	53
13	1521397318.138889	99	DNS	162.212.156.148	10.0.2.15	53	43204
14	1521397319.141493	88	DNS	10.0.2.15	162.212.156.148	43204	53
15	1521397319.15556	99	DNS	162.212.156.148	10.0.2.15	53	43204
16	1521397327.434411	70	DNS	10.0.2.15	75.75.75.75	45204	53
17	1521397327.452144	86	DNS	75.75.75.75	10.0.2.15	53	45204
18	1521397327.46808	87	DNS	10.0.2.15	75.75.75.75	47111	53
19	1521397327.48311	157	DNS	75.75.75.75	10.0.2.15	53	47111
20	1521397330.026521	69	DNS	10.0.2.15	75.75.75.75	51949	53
21	1521397330.045303	101	DNS	75.75.75.75	10.0.2.15	53	51949
22	1521397330.103229	87	DNS	10.0.2.15	75.75.75.75	60816	53
23	1521397330.12167	146	DNS	75.75.75.75	10.0.2.15	53	60816
24	1521397331.714014	92	DNS	10.0.2.15	75.75.75.75	36048	53
25	1521397331.720505	90	DNS	10.0.2.15	75.75.75.75	58999	53
26	1521397331.721296	92	DNS	10.0.2.15	75.75.75.75	53523	53
27	1521397331.721603	80	DNS	10.0.2.15	75.75.75.75	57996	53
28	1521397331.721677	80	DNS	10.0.2.15	75.75.75.75	57996	53
29	1521397331.72474	74	DNS	10.0.2.15	75.75.75.75	43790	53
30	1521397331.724823	74	DNS	10.0.2.15	75.75.75.75	43790	53
31	1521397331.725097	79	DNS	10.0.2.15	75.75.75.75	46118	53
32	1521397331.725158	79	DNS	10.0.2.15	75.75.75.75	46118	53
33	1521397331.744245	151	DNS	75.75.75.75	10.0.2.15	53	58999
34	1521397331.744649	79	DNS	10.0.2.15	75.75.75.75	35552	53
35	1521397331.744728	153	DNS	75.75.75.75	10.0.2.15	53	53523
36	1521397331.744759	79	DNS	10.0.2.15	75.75.75.75	35552	53
37	1521397331.745166	81	DNS	10.0.2.15	75.75.75.75	54157	53
38	1521397331.745228	81	DNS	10.0.2.15	75.75.75.75	54157	53
39	1521397331.748425	251	DNS	75.75.75.75	10.0.2.15	53	57996
40	1521397331.750473	250	DNS	75.75.75.75	10.0.2.15	53	46118
41	1521397331.750487	323	DNS	75.75.75.75	10.0.2.15	53	57996
42	1521397331.752267	346	DNS	75.75.75.75	10.0.2.15	53	46118
43	1521397331.752276	159	DNS	75.75.75.75	10.0.2.15	53	43790
44	1521397331.762836	175	DNS	75.75.75.75	10.0.2.15	53	35552
45	1521397331.762848	247	DNS	75.75.75.75	10.0.2.15	53	35552
46	1521397331.762875	113	DNS	75.75.75.75	10.0.2.15	53	54157
47	1521397331.76317	137	DNS	75.75.75.75	10.0.2.15	53	54157
48	1521397331.769186	90	DNS	75.75.75.75	10.0.2.15	53	43790
